name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white
RT1	31.332	13.7905	-44.4952	-999	RT	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
RT2	39.9948	7.42627	-44.1073	-999	RT	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 38	Gray Matter
RT3	47.1558	1.19934	-41.4513	-999	RT	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RT4	52.3338	-4.94979	-36.102	-999	RT	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RT5	57.4089	-11.8569	-28.958	-999	RT	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter
RT6	64.5431	-18.1575	-25.8371	-999	RT	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RH1	28.5326	-13.0888	-27.0194	-999	RH	R	strip	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 35	Gray Matter
RH2	33.4717	-12.9293	-25.5862	-999	RH	R	strip	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
RH3	38.4421	-13.1591	-24.6821	-999	RH	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
RH4	43.4081	-12.9258	-23.7137	-999	RH	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
RH5	48.3965	-12.1556	-23.1458	-999	RH	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
RH6	53.3894	-11.8486	-22.6422	-999	RH	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LF1	-25.2739	-66.5309	67.5182	-999	LF	L	depth	Parietal Lobe	Superior Parietal Lobule	Brodmann area 7	Gray Matter
LF2	-25.5781	-57.8576	72.5222	-999	LF	L	depth	Parietal Lobe	Postcentral Gyrus	Brodmann area 7	Gray Matter
LF3	-25.298	-48.3669	75.3066	-999	LF	L	strip	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter
LF4	-23.5564	-37.6977	76.4802	-999	LF	L	strip	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter
LF5	-21.2665	-28.2111	76.1066	-999	LF	L	strip	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter
LF6	-19.8046	-18.475	74.259	-999	LF	L	strip	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter
LF7	-17.8928	-8.28998	72.5155	-999	LF	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 4_6	Gray Matter
LF8	-15.6611	1.51245	73.1358	-999	LF	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 4_6	Gray Matter
LFDA1	-2.72917	-3.24874	39.2811	-999	LFDA	L	strip	Limbic Lobe	Cingulate Gyrus	Brodmann area 24	Gray Matter
LFDA2	-3.44319	-2.04515	43.6812	-999	LFDA	L	strip	Limbic Lobe	Cingulate Gyrus	Brodmann area 24	Gray Matter
LFDA3	-4.24228	-0.599517	49.5399	-999	LFDA	L	depth	Limbic Lobe	Cingulate Gyrus	Brodmann area 24	Gray Matter
LFDA4	-4.97872	0.0672036	54.3405	-999	LFDA	L	depth	Frontal Lobe	Medial Frontal Gyrus	Brodmann area 4_6	Gray Matter
LFDA5	-5.74203	0.660261	59.6059	-999	LFDA	L	depth	Frontal Lobe	Medial Frontal Gyrus	Brodmann area 4_6	Gray Matter
LFDA6	-7.87271	1.75911	64.8157	-999	LFDA	L	depth	Frontal Lobe	Medial Frontal Gyrus	Brodmann area 4_6	Gray Matter
LFDB1	-7.51781	-27.8572	51.6377	-999	LFDB	L	depth	Frontal Lobe	Paracentral Lobule	Brodmann area 4_6	Gray Matter
LFDB2	-7.80886	-26.2784	56.6068	-999	LFDB	L	depth	Frontal Lobe	Paracentral Lobule	Brodmann area 4_6	Gray Matter
LFDB3	-8.55863	-24.2222	61.6003	-999	LFDB	L	depth	Frontal Lobe	Medial Frontal Gyrus	Brodmann area 4_6	Gray Matter
LFDB4	-9.71348	-21.5413	65.6885	-999	LFDB	L	depth	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter
LFDB5	-10.8682	-18.8605	69.7768	-999	LFDB	L	depth	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter
LFDB6	-13.7865	-15.9753	72.7758	-999	LFDB	L	depth	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 4_6	Gray Matter
