name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RATa1	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATa2	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATa3	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATa4	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATa5	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATa6	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATa7	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATa8	ECOG	V	n/a	n/a	RATa	400.0	strip	n/a
RATb1	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RATb2	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RATb3	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RATb4	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RATb5	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RATb6	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RATb7	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RATb8	ECOG	V	n/a	n/a	RATb	400.0	strip	n/a
RSTa1	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTa2	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTa3	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTa4	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTa5	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTa6	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTa7	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTa8	ECOG	V	n/a	n/a	RSTa	400.0	strip	n/a
RSTb1	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTb2	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTb3	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTb4	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTb5	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTb6	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTb7	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTb8	ECOG	V	n/a	n/a	RSTb	400.0	strip	n/a
RSTc1	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTc2	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTc3	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTc4	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTc5	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTc6	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTc7	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTc8	ECOG	V	n/a	n/a	RSTc	400.0	strip	n/a
RSTd1	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTd2	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTd3	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTd4	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTd5	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTd6	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTd7	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTd8	ECOG	V	n/a	n/a	RSTd	400.0	strip	n/a
RSTe1	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RSTe2	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RSTe3	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RSTe4	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RSTe5	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RSTe6	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RSTe7	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RSTe8	ECOG	V	n/a	n/a	RSTe	400.0	strip	n/a
RTP1	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
RTP2	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
RTP3	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
RTP4	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
RTP5	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
RTP6	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
RTP7	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
RTP8	ECOG	V	n/a	n/a	RTP	400.0	strip	n/a
LAMY1	SEEG	V	n/a	n/a	LAMY	400.0	depth	n/a
LAMY2	SEEG	V	n/a	n/a	LAMY	400.0	depth	n/a
LAMY3	SEEG	V	n/a	n/a	LAMY	400.0	depth	n/a
LAMY4	SEEG	V	n/a	n/a	LAMY	400.0	depth	n/a
LAH1	SEEG	V	n/a	n/a	LAH	400.0	depth	n/a
LAH2	SEEG	V	n/a	n/a	LAH	400.0	depth	n/a
LAH3	SEEG	V	n/a	n/a	LAH	400.0	depth	n/a
LAH4	SEEG	V	n/a	n/a	LAH	400.0	depth	n/a
LAH5	SEEG	V	n/a	n/a	LAH	400.0	depth	n/a
LPH1	SEEG	V	n/a	n/a	LPH	400.0	depth	n/a
LPH2	SEEG	V	n/a	n/a	LPH	400.0	depth	n/a
LPH3	SEEG	V	n/a	n/a	LPH	400.0	depth	n/a
LPH4	SEEG	V	n/a	n/a	LPH	400.0	depth	n/a
LPH5	SEEG	V	n/a	n/a	LPH	400.0	depth	n/a
LAT1	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT2	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT3	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT4	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT5	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT6	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT7	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT8	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LST1	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST2	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST3	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST4	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST5	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST6	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST7	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST8	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
