onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	0.0	192577	B	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	UP020
0.0	24.88	192577	SESS_START	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	UP020
24.88	0.024	205316	START	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999.0	pyFR	2	UP020
24.904	4.521	205329	PROB	4.467	n/a	n/a	n/a	0	[3 3 8]	14.0	pyFR	2	UP020
29.425	4.537	207644	PROB	4.491	n/a	n/a	n/a	0	[6 3 8]	19.0	pyFR	2	UP020
33.962	4.203	209967	PROB	4.154	n/a	n/a	n/a	0	[2 2 5]	9.0	pyFR	2	UP020
38.165	3.837	212119	PROB	3.783	n/a	n/a	n/a	0	[2 2 9]	13.0	pyFR	2	UP020
42.002	2.334	214083	PROB	2.289	n/a	n/a	n/a	0	[2 8 2]	12.0	pyFR	2	UP020
44.336	2.62	215279	PROB	2.58	n/a	n/a	n/a	0	[4 5 9]	18.0	pyFR	2	UP020
46.956	2.686	216620	PROB	2.64	n/a	n/a	n/a	0	[3 6 6]	15.0	pyFR	2	UP020
49.642	2.485	217995	PROB	2.434	n/a	n/a	n/a	0	[7 2 1]	10.0	pyFR	2	UP020
52.127	4.469	219268	PROB	4.469	n/a	n/a	n/a	0	[5 9 3]	17.0	pyFR	2	UP020
56.596	17.083	221556	STOP	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999.0	pyFR	2	UP020
73.679	0.016	230303	TRIAL	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	UP020
73.695	1.6	230311	ORIENT	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	UP020
76.481	1.6	231738	WORD	n/a	wordpools/wordpool_EN.txt	PLATE	1.0	1	n/a	n/a	pyFR	2	UP020
79.15	1.6	233104	WORD	n/a	wordpools/wordpool_EN.txt	ROOM	2.0	1	n/a	n/a	pyFR	2	UP020
81.802	1.6	234462	WORD	n/a	wordpools/wordpool_EN.txt	VINE	3.0	1	n/a	n/a	pyFR	2	UP020
84.521	1.6	235855	WORD	n/a	wordpools/wordpool_EN.txt	FAN	4.0	1	n/a	n/a	pyFR	2	UP020
87.006	1.6	237127	WORD	n/a	wordpools/wordpool_EN.txt	CLIFF	5.0	1	n/a	n/a	pyFR	2	UP020
89.775	1.6	238545	WORD	n/a	wordpools/wordpool_EN.txt	NEST	6.0	1	n/a	n/a	pyFR	2	UP020
92.611	1.6	239997	WORD	n/a	wordpools/wordpool_EN.txt	BAG	7.0	1	n/a	n/a	pyFR	2	UP020
95.197	1.6	241321	WORD	n/a	wordpools/wordpool_EN.txt	FLOOR	8.0	1	n/a	n/a	pyFR	2	UP020
97.749	1.6	242628	WORD	n/a	wordpools/wordpool_EN.txt	CLOWN	9.0	1	n/a	n/a	pyFR	2	UP020
100.3	1.6	243934	WORD	n/a	wordpools/wordpool_EN.txt	NAIL	10.0	1	n/a	n/a	pyFR	2	UP020
103.07	1.6	245352	WORD	n/a	wordpools/wordpool_EN.txt	BADGE	11.0	1	n/a	n/a	pyFR	2	UP020
105.555	1.6	246625	WORD	n/a	wordpools/wordpool_EN.txt	BRICK	12.0	1	n/a	n/a	pyFR	2	UP020
108.307	1.6	248034	WORD	n/a	wordpools/wordpool_EN.txt	STORM	13.0	1	n/a	n/a	pyFR	2	UP020
110.876	1.6	249349	WORD	n/a	wordpools/wordpool_EN.txt	DOCK	14.0	1	n/a	n/a	pyFR	2	UP020
113.695	1.6	250793	WORD	n/a	wordpools/wordpool_EN.txt	POND	15.0	1	n/a	n/a	pyFR	2	UP020
115.314	1.117	251622	START	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999.0	pyFR	2	UP020
116.431	5.321	252193	PROB	5.269	n/a	n/a	n/a	1	[9 3 1]	13.0	pyFR	2	UP020
121.752	3.236	254918	PROB	3.196	n/a	n/a	n/a	1	[5 7 8]	20.0	pyFR	2	UP020
124.988	2.803	256575	PROB	2.76	n/a	n/a	n/a	1	[5 5 6]	16.0	pyFR	2	UP020
127.791	4.387	258010	PROB	4.333	n/a	n/a	n/a	1	[3 1 4]	8.0	pyFR	2	UP020
132.178	3.069	260256	PROB	3.026	n/a	n/a	n/a	1	[9 7 5]	21.0	pyFR	2	UP020
135.247	2.781	261828	PROB	2.781	n/a	n/a	n/a	1	[3 7 8]	18.0	pyFR	2	UP020
138.028	1.123	263252	STOP	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999.0	pyFR	2	UP020
139.151	2.313	263827	REC_START	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	UP020
141.464	1.474	265011	REC_WORD	2.313	n/a	PLATE	-999.0	1	n/a	n/a	pyFR	2	UP020
142.938	2.022	265766	REC_WORD	3.787	n/a	VINE	-999.0	1	n/a	n/a	pyFR	2	UP020
144.96	5.816	266801	REC_WORD	5.809	n/a	CLIFF	-999.0	1	n/a	n/a	pyFR	2	UP020
150.776	22.101	269779	REC_WORD	11.625	n/a	FLOOR	-999.0	1	n/a	n/a	pyFR	2	UP020
172.877	20.203	281096	REC_WORD	33.726	n/a	<>	-999.0	1	n/a	n/a	pyFR	2	UP020
193.08	0.015	291440	TRIAL	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	UP020
