name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white
LAH1	-28.0	-14.0	-21.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
LAH2	-34.0	-16.0	-19.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
LAH3	-40.0	-18.0	-18.0	-999	LAH	L	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
LAH4	-44.0	-20.0	-16.0	-999	LAH	L	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
LAH5	-50.0	-21.0	-16.0	-999	LAH	L	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LAH6	-56.0	-23.0	-15.0	-999	LAH	L	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LAH7	-61.0	-26.0	-15.0	-999	LAH	L	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
LAH8	-67.0	-22.0	-13.0	-999	LAH	L	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LPH1	-33.0	-15.0	-11.0	-999	LPH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
LPH2	-38.0	-17.0	-11.0	-999	LPH	L	depth	Temporal Lobe	Caudate	Caudate Tail	Gray Matter
LPH3	-43.0	-18.0	-11.0	-999	LPH	L	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter
LPH4	-49.0	-20.0	-11.0	-999	LPH	L	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LPH5	-54.0	-22.0	-11.0	-999	LPH	L	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LPH6	-60.0	-25.0	-13.0	-999	LPH	L	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LPH7	-64.0	-25.0	-20.0	-999	LPH	L	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
LPH8	-65.0	-27.0	-14.0	-999	LPH	L	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LUNC1	-23.0	-16.0	-24.0	-999	LUNC	L	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 35	Gray Matter
LUNC2	-29.0	-18.0	-24.0	-999	LUNC	L	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 36	Gray Matter
LUNC3	-35.0	-20.0	-24.0	-999	LUNC	L	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 36	Gray Matter
LUNC4	-39.0	-21.0	-23.0	-999	LUNC	L	depth	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter
LUNC5	-45.0	-22.0	-22.0	-999	LUNC	L	depth	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter
LUNC6	-51.0	-23.0	-21.0	-999	LUNC	L	depth	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter
