name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white
RAH1	39.9902	-15.3274	-20.3871	-999	RAH	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
RAH2	45.605	-16.4529	-19.2462	-999	RAH	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
RAH3	51.7545	-17.6205	-17.5769	-999	RAH	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RAH4	54.3763	-17.224	-22.0141	-999	RAH	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RAH5	60.0337	-19.314	-21.9919	-999	RAH	R	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RAH6	68.2375	-18.7213	-15.972	-999	RAH	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RAH7	74.5611	-17.6553	-15.5924	-999	RAH	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RAH8	78.0132	-14.5798	-14.1051	-999	RAH	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RPH1	28.6942	-18.8982	-16.6493	-999	RPH	R	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
RPH2	34.3829	-19.9367	-16.5161	-999	RPH	R	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
RPH3	40.6865	-21.9385	-17.4772	-999	RPH	R	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 36	Gray Matter
RPH4	45.3055	-22.8927	-18.4006	-999	RPH	R	depth	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter
RPH5	51.6776	-23.7994	-19.7546	-999	RPH	R	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RPH6	57.4405	-24.7509	-20.6291	-999	RPH	R	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RPH7	63.7641	-23.685	-20.2495	-999	RPH	R	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RPH8	68.4457	-22.5361	-20.9509	-999	RPH	R	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
REC1	25.7996	-11.6797	-20.6091	-999	REC	R	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
REC2	31.5625	-12.6312	-21.4836	-999	REC	R	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter
REC3	39.9902	-15.3274	-20.3871	-999	REC	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
REC4	45.605	-16.4529	-19.2462	-999	REC	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
REC5	48.0412	-16.2737	-21.164	-999	REC	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter
REC6	56.3307	-17.6101	-17.3816	-999	REC	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RAT1	17.6828	-17.7516	-30.7666	-999	RAT	R	strip	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 28	Gray Matter
RAT2	17.2446	-7.28625	-35.3034	-999	RAT	R	strip	Limbic Lobe	Uncus	Brodmann area 36	Gray Matter
RAT3	17.9504	3.18172	-39.7915	-999	RAT	R	strip	Limbic Lobe	Uncus	Brodmann area 38	Gray Matter
RAT4	23.1269	12.5217	-43.1873	-999	RAT	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
RAT5	33.0935	15.8724	-44.4546	-999	RAT	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
RAT6	43.8249	13.7071	-43.2049	-999	RAT	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RAT7	53.1601	6.67683	-40.992	-999	RAT	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
RAT8	58.317	-2.59611	-37.6603	-999	RAT	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
RST1	2.76825	-89.8202	4.43162	-999	RST	R	strip	Occipital Lobe	Cuneus	Brodmann area 17	Gray Matter
RST2	4.78353	-82.1998	-3.86771	-999	RST	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 18	Gray Matter
RST3	11.7459	-75.311	-9.48328	-999	RST	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 18	Gray Matter
RST4	19.1905	-69.0335	-14.1222	-999	RST	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter
RST5	28.3355	-63.2779	-18.7435	-999	RST	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter
RST6	37.5644	-55.9015	-23.7021	-999	RST	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter
RST7	46.0575	-49.2262	-26.7251	-999	RST	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter
RST8	54.9842	-41.1895	-27.0378	-999	RST	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter
