name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RSTA3	ECOG	uV	n/a	n/a	RSTA	2000.0	strip	n/a
RSTA4	ECOG	uV	n/a	n/a	RSTA	2000.0	strip	n/a
RSTA5	ECOG	uV	n/a	n/a	RSTA	2000.0	strip	n/a
RSTA6	ECOG	uV	n/a	n/a	RSTA	2000.0	strip	n/a
RSTA7	ECOG	uV	n/a	n/a	RSTA	2000.0	strip	n/a
RSTA8	ECOG	uV	n/a	n/a	RSTA	2000.0	strip	n/a
RSTB1	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RSTB2	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RSTB3	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RSTB4	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RSTB5	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RSTB6	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RSTB7	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RSTB8	ECOG	uV	n/a	n/a	RSTB	2000.0	strip	n/a
RPTA1	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTA2	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTA3	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTA4	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTA5	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTA6	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTA7	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTA8	ECOG	uV	n/a	n/a	RPTA	2000.0	strip	n/a
RPTB1	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
RPTB2	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
RPTB3	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
RPTB4	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
RPTB5	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
RPTB6	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
RPTB7	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
RPTB8	ECOG	uV	n/a	n/a	RPTB	2000.0	strip	n/a
LAT1	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LAT2	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LAT3	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LAT4	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LAT5	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LAT6	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LAT7	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LAT8	ECOG	uV	n/a	n/a	LAT	2000.0	strip	n/a
LST1	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LST2	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LST3	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LST4	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LST5	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LST6	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LST7	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LST8	ECOG	uV	n/a	n/a	LST	2000.0	strip	n/a
LAH1	ECOG	uV	n/a	n/a	LAH	2000.0	strip	n/a
LAH2	ECOG	uV	n/a	n/a	LAH	2000.0	strip	n/a
LAH3	SEEG	uV	n/a	n/a	LAH	2000.0	depth	n/a
LAH4	SEEG	uV	n/a	n/a	LAH	2000.0	depth	n/a
LAH5	SEEG	uV	n/a	n/a	LAH	2000.0	depth	n/a
LAH6	SEEG	uV	n/a	n/a	LAH	2000.0	depth	n/a
LPH1	SEEG	uV	n/a	n/a	LPH	2000.0	depth	n/a
LPH2	SEEG	uV	n/a	n/a	LPH	2000.0	depth	n/a
LPH3	SEEG	uV	n/a	n/a	LPH	2000.0	depth	n/a
LPH4	SEEG	uV	n/a	n/a	LPH	2000.0	depth	n/a
LPH5	SEEG	uV	n/a	n/a	LPH	2000.0	depth	n/a
LPH6	SEEG	uV	n/a	n/a	LPH	2000.0	depth	n/a
