name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RFA1-RFA2	ECOG	uV	n/a	n/a	bipolar	RFA	2000.0	strip	n/a
RFA2-RFA3	ECOG	uV	n/a	n/a	bipolar	RFA	2000.0	strip	n/a
RFA3-RFA4	ECOG	uV	n/a	n/a	bipolar	RFA	2000.0	strip	n/a
RFA4-RFA5	ECOG	uV	n/a	n/a	bipolar	RFA	2000.0	strip	n/a
RFA5-RFA6	ECOG	uV	n/a	n/a	bipolar	RFA	2000.0	strip	n/a
RFA6-RFA7	ECOG	uV	n/a	n/a	bipolar	RFA	2000.0	strip	n/a
RFA7-RFA8	ECOG	uV	n/a	n/a	bipolar	RFA	2000.0	strip	n/a
RFB1-RFB2	ECOG	uV	n/a	n/a	bipolar	RFB	2000.0	strip	n/a
RFB2-RFB3	ECOG	uV	n/a	n/a	bipolar	RFB	2000.0	strip	n/a
RFB3-RFB4	ECOG	uV	n/a	n/a	bipolar	RFB	2000.0	strip	n/a
RFB4-RFB5	ECOG	uV	n/a	n/a	bipolar	RFB	2000.0	strip	n/a
RFB5-RFB6	ECOG	uV	n/a	n/a	bipolar	RFB	2000.0	strip	n/a
RFB6-RFB7	ECOG	uV	n/a	n/a	bipolar	RFB	2000.0	strip	n/a
RFB7-RFB8	ECOG	uV	n/a	n/a	bipolar	RFB	2000.0	strip	n/a
LFA1-LFA2	ECOG	uV	n/a	n/a	bipolar	LFA	2000.0	strip	n/a
LFA2-LFA3	ECOG	uV	n/a	n/a	bipolar	LFA	2000.0	strip	n/a
LFA3-LFA4	ECOG	uV	n/a	n/a	bipolar	LFA	2000.0	strip	n/a
LFA4-LFA5	ECOG	uV	n/a	n/a	bipolar	LFA	2000.0	strip	n/a
LFA5-LFA6	ECOG	uV	n/a	n/a	bipolar	LFA	2000.0	strip	n/a
LFA6-LFA7	ECOG	uV	n/a	n/a	bipolar	LFA	2000.0	strip	n/a
LFA7-LFA8	ECOG	uV	n/a	n/a	bipolar	LFA	2000.0	strip	n/a
LFB1-LFB2	ECOG	uV	n/a	n/a	bipolar	LFB	2000.0	strip	n/a
LFB2-LFB3	ECOG	uV	n/a	n/a	bipolar	LFB	2000.0	strip	n/a
LFB3-LFB4	ECOG	uV	n/a	n/a	bipolar	LFB	2000.0	strip	n/a
LFB4-LFB5	ECOG	uV	n/a	n/a	bipolar	LFB	2000.0	strip	n/a
LFB5-LFB6	ECOG	uV	n/a	n/a	bipolar	LFB	2000.0	strip	n/a
LFB6-LFB7	ECOG	uV	n/a	n/a	bipolar	LFB	2000.0	strip	n/a
LFB7-LFB8	ECOG	uV	n/a	n/a	bipolar	LFB	2000.0	strip	n/a
LAT1-LAT2	ECOG	uV	n/a	n/a	bipolar	LAT	2000.0	strip	n/a
LAT2-LAT3	ECOG	uV	n/a	n/a	bipolar	LAT	2000.0	strip	n/a
LAT3-LAT4	ECOG	uV	n/a	n/a	bipolar	LAT	2000.0	strip	n/a
LAT4-LAT5	ECOG	uV	n/a	n/a	bipolar	LAT	2000.0	strip	n/a
LAT5-LAT6	ECOG	uV	n/a	n/a	bipolar	LAT	2000.0	strip	n/a
LAT6-LAT7	ECOG	uV	n/a	n/a	bipolar	LAT	2000.0	strip	n/a
LAT7-LAT8	ECOG	uV	n/a	n/a	bipolar	LAT	2000.0	strip	n/a
LAD1-LAD2	SEEG	uV	n/a	n/a	bipolar	LAD	2000.0	depth	n/a
LAD2-LAD3	SEEG	uV	n/a	n/a	bipolar	LAD	2000.0	depth	n/a
LAD3-LAD4	SEEG	uV	n/a	n/a	bipolar	LAD	2000.0	depth	n/a
LAD4-LAD5	SEEG	uV	n/a	n/a	bipolar	LAD	2000.0	depth	n/a
LAD5-LAD6	SEEG	uV	n/a	n/a	bipolar	LAD	2000.0	depth	n/a
LAD6-LAD7	SEEG	uV	n/a	n/a	bipolar	LAD	2000.0	depth	n/a
LAD7-LAD8	SEEG	uV	n/a	n/a	bipolar	LAD	2000.0	depth	n/a
LPD1-LPD2	SEEG	uV	n/a	n/a	bipolar	LPD	2000.0	depth	n/a
LPD2-LPD3	SEEG	uV	n/a	n/a	bipolar	LPD	2000.0	depth	n/a
LPD3-LPD4	SEEG	uV	n/a	n/a	bipolar	LPD	2000.0	depth	n/a
LPD4-LPD5	SEEG	uV	n/a	n/a	bipolar	LPD	2000.0	depth	n/a
LPD5-LPD6	SEEG	uV	n/a	n/a	bipolar	LPD	2000.0	depth	n/a
RD1-RD2	SEEG	uV	n/a	n/a	bipolar	RD	2000.0	depth	n/a
RD2-RD3	SEEG	uV	n/a	n/a	bipolar	RD	2000.0	depth	n/a
RD3-RD4	SEEG	uV	n/a	n/a	bipolar	RD	2000.0	depth	n/a
RD4-RD5	SEEG	uV	n/a	n/a	bipolar	RD	2000.0	depth	n/a
RD5-RD6	SEEG	uV	n/a	n/a	bipolar	RD	2000.0	depth	n/a
LH1-LH2	SEEG	uV	n/a	n/a	bipolar	LH	2000.0	depth	n/a
LH2-LH4	SEEG	uV	n/a	n/a	bipolar	LH	2000.0	depth	n/a
LH4-LH6	SEEG	uV	n/a	n/a	bipolar	LH	2000.0	depth	n/a
