name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white
RFA1	9.0	57.0	-23.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 11	Gray Matter
RFA2	13.0	64.0	-17.0	-999	RFA	R	strip	Frontal Lobe	Medial Frontal Gyrus	Brodmann area 11	Gray Matter
RFA3	17.0	68.0	-9.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
RFA4	21.0	69.0	0.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
RFA5	23.0	68.0	11.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
RFA6	24.0	63.0	20.0	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter
RFA7	24.0	58.0	28.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 9	Gray Matter
RFA8	23.0	50.0	36.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 9	Gray Matter
RFB1	68.0	-20.0	-3.0	-999	RFB	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 21	Gray Matter
RFB2	68.0	-14.0	5.0	-999	RFB	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter
RFB3	67.0	-6.0	13.0	-999	RFB	R	strip	Parietal Lobe	Postcentral Gyrus	Brodmann area 43	Gray Matter
RFB4	66.0	1.0	20.0	-999	RFB	R	strip	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter
RFB5	62.0	8.0	27.0	-999	RFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 9	Gray Matter
RFB6	57.0	14.0	35.0	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 9	Gray Matter
RFB7	50.0	19.0	40.0	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 8	Gray Matter
RFB8	41.0	24.0	45.0	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 8	Gray Matter
LFA1	-6.0	56.0	-22.0	-999	LFA	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 11	Gray Matter
LFA2	-10.0	62.0	-15.0	-999	LFA	L	strip	Frontal Lobe	Medial Frontal Gyrus	Brodmann area 11	Gray Matter
LFA3	-14.0	67.0	-7.0	-999	LFA	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
LFA4	-18.0	67.0	1.0	-999	LFA	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
LFA5	-22.0	64.0	11.0	-999	LFA	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
LFA6	-26.0	57.0	18.0	-999	LFA	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
LFA7	-29.0	50.0	25.0	-999	LFA	L	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter
LFA8	-32.0	43.0	30.0	-999	LFA	L	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 9	Gray Matter
LFB1	-26.0	20.0	-22.0	-999	LFB	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
LFB2	-36.0	22.0	-20.0	-999	LFB	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
LFB3	-47.0	22.0	-17.0	-999	LFB	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
LFB4	-52.0	25.0	-10.0	-999	LFB	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
LFB5	-56.0	27.0	-1.0	-999	LFB	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
LFB6	-53.0	31.0	9.0	-999	LFB	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter
LFB7	-50.0	33.0	17.0	-999	LFB	L	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 46	Gray Matter
LFB8	-44.0	36.0	26.0	-999	LFB	L	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 46	Gray Matter
LAT1	-28.0	13.0	-34.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
LAT2	-37.0	13.0	-35.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter
LAT3	-44.0	8.0	-34.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LAT4	-52.0	2.0	-29.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LAT5	-58.0	-4.0	-24.0	-999	LAT	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter
LAT6	-62.0	-12.0	-19.0	-999	LAT	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter
LAT7	-64.0	-19.0	-13.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LAT8	-68.0	-26.0	-7.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter
LAD1	-22.0	7.0	-2.0	-999	LAD	L	depth	Sub-lobar	Lentiform Nucleus	Putamen	Gray Matter
LAD2	-23.0	11.0	3.0	-999	LAD	L	depth	Sub-lobar	Lentiform Nucleus	Putamen	Gray Matter
LAD3	-24.0	14.0	7.0	-999	LAD	L	depth	Sub-lobar	Lentiform Nucleus	Putamen	Gray Matter
LAD4	-25.0	18.0	11.0	-999	LAD	L	depth	Sub-lobar	Lentiform Nucleus	Putamen	Gray Matter
LAD5	-27.0	21.0	7.0	-999	LAD	L	depth	Sub-lobar	Insula	Brodmann area 13	Gray Matter
LAD6	-28.0	25.0	17.0	-999	LAD	L	depth	Sub-lobar	Insula	Brodmann area 13	Gray Matter
LAD7	-30.0	29.0	21.0	-999	LAD	L	depth	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 9	Gray Matter
LAD8	-33.0	33.0	25.0	-999	LAD	L	depth	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 9	Gray Matter
