onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	0.0	73838	B	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	TJ057
0.0	24.465	73838	SESS_START	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	2	TJ057
24.465	0.033	98303	START	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999.0	pyFR	2	TJ057
24.498	6.847	98336	PROB	6.789	n/a	n/a	n/a	0	[9 7 3]	19.0	pyFR	2	TJ057
31.345	2.805	105183	PROB	2.773	n/a	n/a	n/a	0	[5 7 2]	14.0	pyFR	2	TJ057
34.15	3.608	107988	PROB	3.561	n/a	n/a	n/a	0	[9 4 5]	18.0	pyFR	2	TJ057
37.758	9.052	111596	PROB	9.024	n/a	n/a	n/a	0	[6 7 8]	21.0	pyFR	2	TJ057
46.81	3.423	120648	PROB	3.387	n/a	n/a	n/a	0	[9 5 7]	21.0	pyFR	2	TJ057
50.233	3.591	124071	PROB	3.549	n/a	n/a	n/a	0	[7 4 5]	16.0	pyFR	2	TJ057
53.824	11.133	127662	PROB	11.133	n/a	n/a	n/a	0	[3 2 9]	14.0	pyFR	2	TJ057
64.957	56.018	138795	STOP	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999.0	pyFR	2	TJ057
120.975	0.015	194813	TRIAL	n/a	n/a	n/a	-999.0	1	n/a	n/a	pyFR	2	TJ057
120.99	1.6	194828	ORIENT	n/a	n/a	n/a	-999.0	1	n/a	n/a	pyFR	2	TJ057
123.797	1.6	197635	WORD	n/a	wordpools/wordpool_EN.txt	TOOL	1.0	1	n/a	n/a	pyFR	2	TJ057
126.335	1.6	200173	WORD	n/a	wordpools/wordpool_EN.txt	CAKE	2.0	1	n/a	n/a	pyFR	2	TJ057
129.107	1.6	202945	WORD	n/a	wordpools/wordpool_EN.txt	SWAMP	3.0	1	n/a	n/a	pyFR	2	TJ057
131.646	1.6	205484	WORD	n/a	wordpools/wordpool_EN.txt	KING	4.0	1	n/a	n/a	pyFR	2	TJ057
134.2	1.6	208038	WORD	n/a	wordpools/wordpool_EN.txt	SNAIL	5.0	1	n/a	n/a	pyFR	2	TJ057
136.673	1.6	210511	WORD	n/a	wordpools/wordpool_EN.txt	CHIEF	6.0	1	n/a	n/a	pyFR	2	TJ057
139.143	1.6	212981	WORD	n/a	wordpools/wordpool_EN.txt	SHRIMP	7.0	1	n/a	n/a	pyFR	2	TJ057
141.599	1.6	215437	WORD	n/a	wordpools/wordpool_EN.txt	TOE	8.0	1	n/a	n/a	pyFR	2	TJ057
144.036	1.6	217874	WORD	n/a	wordpools/wordpool_EN.txt	VAN	9.0	1	n/a	n/a	pyFR	2	TJ057
146.726	1.6	220564	WORD	n/a	wordpools/wordpool_EN.txt	COIN	10.0	1	n/a	n/a	pyFR	2	TJ057
149.448	1.6	223286	WORD	n/a	wordpools/wordpool_EN.txt	FUR	11.0	1	n/a	n/a	pyFR	2	TJ057
151.952	1.6	225789	WORD	n/a	wordpools/wordpool_EN.txt	MOON	12.0	1	n/a	n/a	pyFR	2	TJ057
154.425	1.6	228262	WORD	n/a	wordpools/wordpool_EN.txt	FLUTE	13.0	1	n/a	n/a	pyFR	2	TJ057
157.112	1.6	230949	WORD	n/a	wordpools/wordpool_EN.txt	AXE	14.0	1	n/a	n/a	pyFR	2	TJ057
159.769	1.6	233606	WORD	n/a	wordpools/wordpool_EN.txt	CASH	15.0	1	n/a	n/a	pyFR	2	TJ057
161.39	1.134	235227	START	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999.0	pyFR	2	TJ057
162.524	4.475	236361	PROB	4.43	n/a	n/a	n/a	1	[7 5 9]	21.0	pyFR	2	TJ057
166.999	2.021	240836	PROB	1.987	n/a	n/a	n/a	1	[3 7 4]	14.0	pyFR	2	TJ057
169.02	2.305	242857	PROB	2.27	n/a	n/a	n/a	1	[9 1 3]	13.0	pyFR	2	TJ057
171.325	2.338	245162	PROB	2.309	n/a	n/a	n/a	1	[8 2 2]	12.0	pyFR	2	TJ057
173.663	2.204	247500	PROB	2.164	n/a	n/a	n/a	1	[9 9 3]	21.0	pyFR	2	TJ057
175.867	2.606	249704	PROB	2.567	n/a	n/a	n/a	1	[1 7 9]	17.0	pyFR	2	TJ057
178.473	2.104	252310	PROB	2.049	n/a	n/a	n/a	1	[6 4 5]	15.0	pyFR	2	TJ057
180.577	2.36	254414	PROB	2.36	n/a	n/a	n/a	1	[3 4 4]	11.0	pyFR	2	TJ057
182.937	1.063	256774	STOP	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999.0	pyFR	2	TJ057
184.0	1.018	257837	REC_START	n/a	n/a	n/a	-999.0	1	n/a	n/a	pyFR	2	TJ057
185.018	1.14	258855	REC_WORD	1.018	n/a	TOOL	-999.0	1	n/a	n/a	pyFR	2	TJ057
186.158	1.001	259995	REC_WORD	2.158	n/a	CAKE	-999.0	1	n/a	n/a	pyFR	2	TJ057
187.159	1.338	260996	REC_WORD	3.159	n/a	SNAIL	-999.0	1	n/a	n/a	pyFR	2	TJ057
188.497	1.253	262334	REC_WORD	4.497	n/a	TOE	-999.0	1	n/a	n/a	pyFR	2	TJ057
189.75	1.332	263587	REC_WORD	5.75	n/a	KING	-999.0	1	n/a	n/a	pyFR	2	TJ057
191.082	1.789	264919	REC_WORD	7.082	n/a	SWAMP	-999.0	1	n/a	n/a	pyFR	2	TJ057
192.871	42.433	266708	REC_WORD	8.871	n/a	AXE	-999.0	1	n/a	n/a	pyFR	2	TJ057
235.304	0.016	309141	TRIAL	n/a	n/a	n/a	-999.0	2	n/a	n/a	pyFR	2	TJ057
235.32	1.6	309157	ORIENT	n/a	n/a	n/a	-999.0	2	n/a	n/a	pyFR	2	TJ057
238.343	1.6	312180	WORD	n/a	wordpools/wordpool_EN.txt	PIG	1.0	2	n/a	n/a	pyFR	2	TJ057
240.997	1.6	314834	WORD	n/a	wordpools/wordpool_EN.txt	RICE	2.0	2	n/a	n/a	pyFR	2	TJ057
243.737	1.6	317574	WORD	n/a	wordpools/wordpool_EN.txt	WING	3.0	2	n/a	n/a	pyFR	2	TJ057
246.526	1.6	320363	WORD	n/a	wordpools/wordpool_EN.txt	HOOK	4.0	2	n/a	n/a	pyFR	2	TJ057
249.298	1.6	323135	WORD	n/a	wordpools/wordpool_EN.txt	BARN	5.0	2	n/a	n/a	pyFR	2	TJ057
251.803	1.6	325640	WORD	n/a	wordpools/wordpool_EN.txt	CHAIR	6.0	2	n/a	n/a	pyFR	2	TJ057
254.391	1.6	328228	WORD	n/a	wordpools/wordpool_EN.txt	STEAK	7.0	2	n/a	n/a	pyFR	2	TJ057
257.029	1.6	330866	WORD	n/a	wordpools/wordpool_EN.txt	ZOO	8.0	2	n/a	n/a	pyFR	2	TJ057
259.702	1.6	333539	WORD	n/a	wordpools/wordpool_EN.txt	RUG	9.0	2	n/a	n/a	pyFR	2	TJ057
