name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LAP1	ECOG	V	n/a	n/a	LAP	400.0	strip	n/a
LAP2	ECOG	V	n/a	n/a	LAP	400.0	strip	n/a
LAP3	ECOG	V	n/a	n/a	LAP	400.0	strip	n/a
LAP4	ECOG	V	n/a	n/a	LAP	400.0	strip	n/a
LPP1	ECOG	V	n/a	n/a	LPP	400.0	strip	n/a
LPP2	ECOG	V	n/a	n/a	LPP	400.0	strip	n/a
LPP3	ECOG	V	n/a	n/a	LPP	400.0	strip	n/a
LPP4	ECOG	V	n/a	n/a	LPP	400.0	strip	n/a
LPNHA1	ECOG	V	n/a	n/a	LPNHA	400.0	strip	n/a
LPNHA2	ECOG	V	n/a	n/a	LPNHA	400.0	strip	n/a
LPNHA3	ECOG	V	n/a	n/a	LPNHA	400.0	strip	n/a
LPNHA4	ECOG	V	n/a	n/a	LPNHA	400.0	strip	n/a
LPNHB1	ECOG	V	n/a	n/a	LPNHB	400.0	strip	n/a
LPNHB2	ECOG	V	n/a	n/a	LPNHB	400.0	strip	n/a
LPNHB3	ECOG	V	n/a	n/a	LPNHB	400.0	strip	n/a
LPNHB4	ECOG	V	n/a	n/a	LPNHB	400.0	strip	n/a
LAT1	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT2	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT3	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT4	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT5	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT6	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT7	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT8	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LST1	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST2	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST3	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST4	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST5	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST6	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST7	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST8	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LPT1	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPT2	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPT3	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPT4	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPT5	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPT6	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPT7	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPT8	ECOG	V	n/a	n/a	LPT	400.0	strip	n/a
LPA1	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPA2	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPA3	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPA4	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPA5	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPA6	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPA7	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPA8	ECOG	V	n/a	n/a	LPA	400.0	strip	n/a
LPB1	ECOG	V	n/a	n/a	LPB	400.0	strip	n/a
LPB2	ECOG	V	n/a	n/a	LPB	400.0	strip	n/a
LPB3	ECOG	V	n/a	n/a	LPB	400.0	strip	n/a
LPB4	ECOG	V	n/a	n/a	LPB	400.0	strip	n/a
LPB5	ECOG	V	n/a	n/a	LPB	400.0	strip	n/a
LPB6	ECOG	V	n/a	n/a	LPB	400.0	strip	n/a
LPB7	ECOG	V	n/a	n/a	LPB	400.0	strip	n/a
LPC1	ECOG	V	n/a	n/a	LPC	400.0	strip	n/a
LPC2	ECOG	V	n/a	n/a	LPC	400.0	strip	n/a
LPC3	ECOG	V	n/a	n/a	LPC	400.0	strip	n/a
LPC4	ECOG	V	n/a	n/a	LPC	400.0	strip	n/a
LPC5	ECOG	V	n/a	n/a	LPC	400.0	strip	n/a
LPC6	ECOG	V	n/a	n/a	LPC	400.0	strip	n/a
LPC7	ECOG	V	n/a	n/a	LPC	400.0	strip	n/a
