onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	0.001	209329	B	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	2	TJ001
0.001	17.817	209329	SESS_START	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	2	TJ001
17.818	0.451	216456	START	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999	pyFR	2	TJ001
18.269	2.828	216637	PROB	n/a	n/a	n/a	n/a	0	[2 7 4]	13	pyFR	2	TJ001
21.097	2.34	217768	PROB	n/a	n/a	n/a	n/a	0	[4 9 1]	14	pyFR	2	TJ001
23.437	2.544	218704	PROB	n/a	n/a	n/a	n/a	0	[8 3 2]	14	pyFR	2	TJ001
25.981	1.654	219721	PROB	n/a	n/a	n/a	n/a	0	[2 2 2]	6	pyFR	2	TJ001
27.635	1.79	220383	PROB	n/a	n/a	n/a	n/a	0	[1 5 6]	12	pyFR	2	TJ001
29.425	3.669	221099	PROB	n/a	n/a	n/a	n/a	0	[4 9 5]	18	pyFR	2	TJ001
33.094	1.689	222567	PROB	n/a	n/a	n/a	n/a	0	[1 1 3]	5	pyFR	2	TJ001
34.783	2.242	223242	PROB	n/a	n/a	n/a	n/a	0	[8 4 5]	17	pyFR	2	TJ001
37.025	2.91	224139	PROB	n/a	n/a	n/a	n/a	0	[5 3 3]	11	pyFR	2	TJ001
39.935	17.217	225303	PROB	n/a	n/a	n/a	n/a	0	[4 5 8]	17	pyFR	2	TJ001
57.152	20.796	232190	STOP	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999	pyFR	2	TJ001
77.948	0.018	240508	TRIAL	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	2	TJ001
77.966	2.825	240516	ORIENT	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	2	TJ001
80.791	2.543	241646	WORD	n/a	wordpools/wordpool_EN.txt	OAK	1	1	n/a	n/a	pyFR	2	TJ001
83.334	2.526	242663	WORD	n/a	wordpools/wordpool_EN.txt	CAR	2	1	n/a	n/a	pyFR	2	TJ001
85.86	2.575	243673	WORD	n/a	wordpools/wordpool_EN.txt	CART	3	1	n/a	n/a	pyFR	2	TJ001
88.435	2.649	244703	WORD	n/a	wordpools/wordpool_EN.txt	PEN	4	1	n/a	n/a	pyFR	2	TJ001
91.084	2.458	245763	WORD	n/a	wordpools/wordpool_EN.txt	CONE	5	1	n/a	n/a	pyFR	2	TJ001
93.542	2.644	246746	WORD	n/a	wordpools/wordpool_EN.txt	CROW	6	1	n/a	n/a	pyFR	2	TJ001
96.186	2.642	247804	WORD	n/a	wordpools/wordpool_EN.txt	LEG	7	1	n/a	n/a	pyFR	2	TJ001
98.828	2.458	248860	WORD	n/a	wordpools/wordpool_EN.txt	STREET	8	1	n/a	n/a	pyFR	2	TJ001
101.286	2.526	249844	WORD	n/a	wordpools/wordpool_EN.txt	POND	9	1	n/a	n/a	pyFR	2	TJ001
103.812	2.659	250854	WORD	n/a	wordpools/wordpool_EN.txt	PET	10	1	n/a	n/a	pyFR	2	TJ001
106.471	2.661	251918	WORD	n/a	wordpools/wordpool_EN.txt	TAPE	11	1	n/a	n/a	pyFR	2	TJ001
109.132	2.725	252982	WORD	n/a	wordpools/wordpool_EN.txt	DIME	12	1	n/a	n/a	pyFR	2	TJ001
111.857	2.743	254072	WORD	n/a	wordpools/wordpool_EN.txt	MOOSE	13	1	n/a	n/a	pyFR	2	TJ001
114.6	2.743	255169	WORD	n/a	wordpools/wordpool_EN.txt	BOY	14	1	n/a	n/a	pyFR	2	TJ001
117.343	1.628	256266	WORD	n/a	wordpools/wordpool_EN.txt	PANTS	15	1	n/a	n/a	pyFR	2	TJ001
118.971	1.183	256918	START	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999	pyFR	2	TJ001
120.154	4.834	257391	PROB	n/a	n/a	n/a	n/a	1	[4 2 7]	14	pyFR	2	TJ001
124.988	2.074	259324	PROB	n/a	n/a	n/a	n/a	1	[4 4 4]	12	pyFR	2	TJ001
127.062	2.274	260154	PROB	n/a	n/a	n/a	n/a	1	[1 1 2]	6	pyFR	2	TJ001
129.336	2.425	261064	PROB	n/a	n/a	n/a	n/a	1	[6 1 6]	13	pyFR	2	TJ001
131.761	1.874	262034	PROB	n/a	n/a	n/a	n/a	1	[3 7 2]	12	pyFR	2	TJ001
133.635	2.592	262783	PROB	n/a	n/a	n/a	n/a	1	[4 9 6]	18	pyFR	2	TJ001
136.227	4.609	263820	PROB	n/a	n/a	n/a	n/a	1	[9 5 2]	16	pyFR	2	TJ001
140.836	1.131	265664	STOP	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999	pyFR	2	TJ001
141.967	0.702	266116	REC_START	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	2	TJ001
142.669	0.925	266397	REC_WORD	0.925	n/a	MOOSE	-999	1	n/a	n/a	pyFR	2	TJ001
143.594	0.949	266767	REC_WORD	0.949	n/a	CAR	-999	1	n/a	n/a	pyFR	2	TJ001
144.543	1.001	267147	REC_WORD	1.001	n/a	PET	-999	1	n/a	n/a	pyFR	2	TJ001
145.544	0.911	267547	REC_WORD	0.911	n/a	OAK	-999	1	n/a	n/a	pyFR	2	TJ001
146.455	1.0	267911	REC_WORD	1.0	n/a	LEG	-999	1	n/a	n/a	pyFR	2	TJ001
147.455	1.572	268311	REC_WORD	1.572	n/a	PANTS	-999	1	n/a	n/a	pyFR	2	TJ001
149.027	5.208	268940	REC_WORD	5.208	n/a	BOY	-999	1	n/a	n/a	pyFR	2	TJ001
154.235	10.246	271023	REC_WORD	10.246	n/a	TAPE	-999	1	n/a	n/a	pyFR	2	TJ001
164.481	24.451	275122	REC_WORD	24.451	n/a	CONE	-999	1	n/a	n/a	pyFR	2	TJ001
188.932	0.034	284902	TRIAL	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	2	TJ001
