onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	0.001	685758	B	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	1	TJ057
0.001	39.046	685759	SESS_START	n/a	n/a	n/a	-999.0	-999	n/a	n/a	pyFR	1	TJ057
39.047	0.024	724805	START	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999.0	pyFR	1	TJ057
39.071	5.394	724829	PROB	5.35	n/a	n/a	n/a	0	[8 7 8]	23.0	pyFR	1	TJ057
44.465	8.918	730223	PROB	8.866	n/a	n/a	n/a	0	[2 9 2]	13.0	pyFR	1	TJ057
53.383	3.474	739141	PROB	3.438	n/a	n/a	n/a	0	[2 8 6]	16.0	pyFR	1	TJ057
56.857	3.708	742615	PROB	3.676	n/a	n/a	n/a	0	[2 9 6]	17.0	pyFR	1	TJ057
60.565	4.275	746323	PROB	4.248	n/a	n/a	n/a	0	[5 6 9]	20.0	pyFR	1	TJ057
64.84	2.856	750598	PROB	2.812	n/a	n/a	n/a	0	[3 2 1]	6.0	pyFR	1	TJ057
67.696	3.221	753454	PROB	3.221	n/a	n/a	n/a	0	[7 4 2]	15.0	pyFR	1	TJ057
70.917	79.38	756675	STOP	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999.0	pyFR	1	TJ057
150.297	0.016	836055	TRIAL	n/a	n/a	n/a	-999.0	1	n/a	n/a	pyFR	1	TJ057
150.313	1.6	836071	ORIENT	n/a	n/a	n/a	-999.0	1	n/a	n/a	pyFR	1	TJ057
153.136	1.6	838894	WORD	n/a	wordpools/wordpool_EN.txt	TAPE	1.0	1	n/a	n/a	pyFR	1	TJ057
155.825	1.6	841583	WORD	n/a	wordpools/wordpool_EN.txt	CLOCK	2.0	1	n/a	n/a	pyFR	1	TJ057
158.464	1.6	844222	WORD	n/a	wordpools/wordpool_EN.txt	GLOVE	3.0	1	n/a	n/a	pyFR	1	TJ057
161.285	1.6	847043	WORD	n/a	wordpools/wordpool_EN.txt	SMILE	4.0	1	n/a	n/a	pyFR	1	TJ057
164.092	1.6	849850	WORD	n/a	wordpools/wordpool_EN.txt	BROOM	5.0	1	n/a	n/a	pyFR	1	TJ057
166.881	1.6	852639	WORD	n/a	wordpools/wordpool_EN.txt	ANT	6.0	1	n/a	n/a	pyFR	1	TJ057
169.553	1.6	855311	WORD	n/a	wordpools/wordpool_EN.txt	FORT	7.0	1	n/a	n/a	pyFR	1	TJ057
172.291	1.6	858049	WORD	n/a	wordpools/wordpool_EN.txt	WORM	8.0	1	n/a	n/a	pyFR	1	TJ057
175.064	1.6	860822	WORD	n/a	wordpools/wordpool_EN.txt	SLUSH	9.0	1	n/a	n/a	pyFR	1	TJ057
177.503	1.6	863261	WORD	n/a	wordpools/wordpool_EN.txt	JAIL	10.0	1	n/a	n/a	pyFR	1	TJ057
179.958	1.6	865716	WORD	n/a	wordpools/wordpool_EN.txt	SHOE	11.0	1	n/a	n/a	pyFR	1	TJ057
182.713	1.6	868471	WORD	n/a	wordpools/wordpool_EN.txt	TENT	12.0	1	n/a	n/a	pyFR	1	TJ057
