onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	0.0	460939	SESS_START	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	0	TJ036
0.0	73.473	460939	B	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	0	TJ036
73.473	0.01	n/a	START	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999	pyFR	0	TJ036
73.483	7.831	n/a	PROB	n/a	n/a	n/a	n/a	0	[3 9 1]	13	pyFR	0	TJ036
81.314	5.241	n/a	PROB	n/a	n/a	n/a	n/a	0	[6 3 6]	15	pyFR	0	TJ036
86.555	2.605	n/a	PROB	n/a	n/a	n/a	n/a	0	[3 7 1]	11	pyFR	0	TJ036
89.16	3.288	n/a	PROB	n/a	n/a	n/a	n/a	0	[9 5 1]	15	pyFR	0	TJ036
92.448	3.591	n/a	PROB	n/a	n/a	n/a	n/a	0	[8 4 8]	20	pyFR	0	TJ036
96.039	8.318	n/a	PROB	n/a	n/a	n/a	n/a	0	[8 1 7]	16	pyFR	0	TJ036
104.357	110.148	n/a	STOP	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999	pyFR	0	TJ036
214.505	0.016	675436	TRIAL	n/a	n/a	n/a	-999	1	n/a	n/a	pyFR	0	TJ036
214.521	2.822	675452	ORIENT	n/a	n/a	n/a	-999	1	n/a	n/a	pyFR	0	TJ036
217.343	2.588	678274	WORD	n/a	wordpools/wordpool_EN.txt	SHEET	1	1	n/a	n/a	pyFR	0	TJ036
219.931	2.737	680862	WORD	n/a	wordpools/wordpool_EN.txt	CUBE	2	1	n/a	n/a	pyFR	0	TJ036
222.668	2.488	683598	WORD	n/a	wordpools/wordpool_EN.txt	HOUSE	3	1	n/a	n/a	pyFR	0	TJ036
225.156	2.537	686086	WORD	n/a	wordpools/wordpool_EN.txt	LAMB	4	1	n/a	n/a	pyFR	0	TJ036
