name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LFA1	ECOG	V	n/a	n/a	LFA	2000.0	strip	n/a
LFA2	ECOG	V	n/a	n/a	LFA	2000.0	strip	n/a
LFA3	ECOG	V	n/a	n/a	LFA	2000.0	strip	n/a
LFA5	ECOG	V	n/a	n/a	LFA	2000.0	strip	n/a
LFA7	ECOG	V	n/a	n/a	LFA	2000.0	strip	n/a
LFA8	ECOG	V	n/a	n/a	LFA	2000.0	strip	n/a
LFB1	ECOG	V	n/a	n/a	LFB	2000.0	strip	n/a
LFB2	ECOG	V	n/a	n/a	LFB	2000.0	strip	n/a
LFB3	ECOG	V	n/a	n/a	LFB	2000.0	strip	n/a
LFB5	ECOG	V	n/a	n/a	LFB	2000.0	strip	n/a
LFB7	ECOG	V	n/a	n/a	LFB	2000.0	strip	n/a
LFB8	ECOG	V	n/a	n/a	LFB	2000.0	strip	n/a
LD1	ECOG	V	n/a	n/a	LD	2000.0	grid	n/a
LD2	ECOG	V	n/a	n/a	LD	2000.0	grid	n/a
LD3	ECOG	V	n/a	n/a	LD	2000.0	grid	n/a
LD4	ECOG	V	n/a	n/a	LD	2000.0	grid	n/a
LD5	ECOG	V	n/a	n/a	LD	2000.0	grid	n/a
LD6	ECOG	V	n/a	n/a	LD	2000.0	grid	n/a
RFA1	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFA2	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFA3	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFA4	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFA5	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFA6	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFA7	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFA8	ECOG	V	n/a	n/a	RFA	2000.0	strip	n/a
RFB1	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFB2	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFB3	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFB4	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFB5	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFB6	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFB7	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFB8	ECOG	V	n/a	n/a	RFB	2000.0	strip	n/a
RFC1	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFC2	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFC3	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFC4	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFC5	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFC6	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFC7	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFC8	ECOG	V	n/a	n/a	RFC	2000.0	strip	n/a
RFD1	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RFD2	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RFD3	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RFD4	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RFD5	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RFD6	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RFD7	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RFD8	ECOG	V	n/a	n/a	RFD	2000.0	strip	n/a
RAT1	ECOG	V	n/a	n/a	RAT	2000.0	strip	n/a
RAT2	ECOG	V	n/a	n/a	RAT	2000.0	strip	n/a
RAT3	ECOG	V	n/a	n/a	RAT	2000.0	strip	n/a
RAT4	ECOG	V	n/a	n/a	RAT	2000.0	strip	n/a
RAT5	ECOG	V	n/a	n/a	RAT	2000.0	strip	n/a
RAT6	ECOG	V	n/a	n/a	RAT	2000.0	strip	n/a
RST1	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
RST2	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
RST3	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
RST4	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
RST5	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
RST6	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
RST7	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
RST8	ECOG	V	n/a	n/a	RST	2000.0	strip	n/a
