onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	0.0	428638	B	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	0	TJ078
0.0	100.161	428638	SESS_START	n/a	n/a	n/a	-999	-999	n/a	n/a	pyFR	0	TJ078
100.161	0.363	528801	START	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999	pyFR	0	TJ078
100.524	6.31	529164	PROB	n/a	n/a	n/a	n/a	0	[2 8 4]	14	pyFR	0	TJ078
106.834	6.794	535474	PROB	n/a	n/a	n/a	n/a	0	[5 8 4]	17	pyFR	0	TJ078
113.628	5.677	542268	PROB	n/a	n/a	n/a	n/a	0	[6 6 9]	21	pyFR	0	TJ078
119.305	5.709	547945	PROB	n/a	n/a	n/a	n/a	0	[7 9 6]	22	pyFR	0	TJ078
125.014	4.79	553655	PROB	n/a	n/a	n/a	n/a	0	[4 8 2]	14	pyFR	0	TJ078
129.804	4.849	558445	PROB	n/a	n/a	n/a	n/a	0	[6 3 8]	17	pyFR	0	TJ078
134.653	80.811	563294	STOP	n/a	n/a	n/a	n/a	0	[-999 -999 -999]	-999	pyFR	0	TJ078
215.464	0.016	644106	TRIAL	n/a	n/a	n/a	-999	1	n/a	n/a	pyFR	0	TJ078
215.48	2.788	644122	ORIENT	n/a	n/a	n/a	-999	1	n/a	n/a	pyFR	0	TJ078
218.268	2.638	646910	WORD	n/a	wordpools/wordpool_EN.txt	BROOM	1	1	n/a	n/a	pyFR	0	TJ078
220.906	2.654	649549	WORD	n/a	wordpools/wordpool_EN.txt	LEG	2	1	n/a	n/a	pyFR	0	TJ078
223.56	2.504	652203	WORD	n/a	wordpools/wordpool_EN.txt	RUG	3	1	n/a	n/a	pyFR	0	TJ078
226.064	2.605	654707	WORD	n/a	wordpools/wordpool_EN.txt	BAT	4	1	n/a	n/a	pyFR	0	TJ078
228.669	2.654	657312	WORD	n/a	wordpools/wordpool_EN.txt	DOCK	5	1	n/a	n/a	pyFR	0	TJ078
231.323	2.754	659966	WORD	n/a	wordpools/wordpool_EN.txt	MUD	6	1	n/a	n/a	pyFR	0	TJ078
234.077	2.587	662720	WORD	n/a	wordpools/wordpool_EN.txt	MOOSE	7	1	n/a	n/a	pyFR	0	TJ078
236.664	2.539	665307	WORD	n/a	wordpools/wordpool_EN.txt	COUCH	8	1	n/a	n/a	pyFR	0	TJ078
239.203	2.721	667846	WORD	n/a	wordpools/wordpool_EN.txt	LAMP	9	1	n/a	n/a	pyFR	0	TJ078
241.924	2.504	670567	WORD	n/a	wordpools/wordpool_EN.txt	JAIL	10	1	n/a	n/a	pyFR	0	TJ078
244.428	2.504	673071	WORD	n/a	wordpools/wordpool_EN.txt	STRAW	11	1	n/a	n/a	pyFR	0	TJ078
246.932	2.67	675575	WORD	n/a	wordpools/wordpool_EN.txt	VEST	12	1	n/a	n/a	pyFR	0	TJ078
249.602	2.722	678245	WORD	n/a	wordpools/wordpool_EN.txt	ROPE	13	1	n/a	n/a	pyFR	0	TJ078
252.324	2.638	680967	WORD	n/a	wordpools/wordpool_EN.txt	NAIL	14	1	n/a	n/a	pyFR	0	TJ078
254.962	1.604	683605	WORD	n/a	wordpools/wordpool_EN.txt	SKY	15	1	n/a	n/a	pyFR	0	TJ078
256.566	0.884	685209	START	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999	pyFR	0	TJ078
257.45	5.826	686093	PROB	n/a	n/a	n/a	n/a	1	[5 6 9]	20	pyFR	0	TJ078
263.276	6.21	691919	PROB	n/a	n/a	n/a	n/a	1	[6 5 6]	17	pyFR	0	TJ078
269.486	5.075	698130	PROB	n/a	n/a	n/a	n/a	1	[6 1 7]	14	pyFR	0	TJ078
274.561	4.905	703205	PROB	n/a	n/a	n/a	n/a	1	[9 1 2]	12	pyFR	0	TJ078
279.466	1.039	708110	STOP	n/a	n/a	n/a	n/a	1	[-999 -999 -999]	-999	pyFR	0	TJ078
280.505	9.514	709149	REC_START	n/a	n/a	n/a	-999	1	n/a	n/a	pyFR	0	TJ078
290.019	3.425	718663	REC_WORD_VV	3.425	n/a	<>	-999	1	n/a	n/a	pyFR	0	TJ078
293.444	2.05	722088	REC_WORD	2.05	n/a	COUCH	-999	1	n/a	n/a	pyFR	0	TJ078
295.494	3.241	724138	REC_WORD	3.241	n/a	MUG	-999	1	n/a	n/a	pyFR	0	TJ078
298.735	3.913	727379	REC_WORD	3.913	n/a	LAMP	-999	1	n/a	n/a	pyFR	0	TJ078
302.648	27.037	731292	REC_WORD	27.037	n/a	BROOM	-999	1	n/a	n/a	pyFR	0	TJ078
329.685	0.016	758330	TRIAL	n/a	n/a	n/a	-999	2	n/a	n/a	pyFR	0	TJ078
329.701	2.639	758346	ORIENT	n/a	n/a	n/a	-999	2	n/a	n/a	pyFR	0	TJ078
