name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
LG1	-30.0	-41.0	67.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-30.7044	-45.9238	70.6479
LG2	-32.0	-30.0	67.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-32.5448	-34.8174	70.9408
LG3	-34.0	-20.0	66.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-34.3859	-24.308	70.1288
LG4	-37.0	-12.0	65.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-37.2348	-15.3931	69.4939
LG5	-37.0	-2.0	61.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 4_6	Gray Matter	-36.9226	-4.90614	66.2826
LG6	-34.0	6.0	57.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 4_6	Gray Matter	-34.2483	3.12948	62.0242
LG7	-31.0	13.0	51.0	-999	LG	L	grid	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 4_6	Gray Matter	-31.6094	11.0724	56.6197
LG8	-31.0	22.0	45.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 8	Gray Matter	-31.3341	20.2726	50.0526
LG9	-39.0	-43.0	61.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-39.8127	-47.1322	64.1998
LG10	-41.0	-33.0	61.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-41.5836	-37.0344	64.5751
LG11	-42.0	-23.0	60.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-42.3127	-26.4434	63.7095
LG12	-45.0	-14.0	59.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-45.1616	-17.5286	63.0747
LG13	-43.0	-4.0	55.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-43.7374	-6.9601	59.8099
LG14	-42.0	4.0	51.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 4_6	Gray Matter	-42.2446	2.00267	55.5226
LG15	-39.0	13.0	44.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 4_6	Gray Matter	-39.7452	11.3658	48.8484
LG16	-38.0	20.0	40.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 8	Gray Matter	-38.1136	18.3113	44.726
LG17	-40.0	-60.0	53.0	-999	LG	L	grid	Parietal Lobe	Superior Parietal Lobule	Brodmann area 7	Gray Matter	-40.133	-64.7836	54.1528
LG18	-43.0	-50.0	54.0	-999	LG	R	grid	Frontal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-43.0152	-54.1703	55.6865
LG19	-48.0	-40.0	54.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-48.6781	-44.3578	56.2491
LG20	-50.0	-32.0	54.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-50.3796	-35.2687	56.7069
LG21	-51.0	-21.0	53.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-51.1087	-24.6778	55.8413
LG22	-51.0	-12.0	50.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-51.8384	-14.6839	53.8709
LG23	-49.0	-2.0	48.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-49.1975	-4.9499	51.781
LG24	-46.0	6.0	44.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 4_6	Gray Matter	-46.0013	4.22779	48.5594
LG25	-48.0	-62.0	46.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-48.7207	-66.044	46.5318
LG26	-51.0	-53.0	45.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-51.5695	-57.129	45.897
LG27	-54.0	-43.0	47.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-54.4164	-46.423	48.5768
LG28	-56.0	-33.0	47.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-56.1873	-36.3253	48.9521
LG29	-56.0	-24.0	46.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-56.847	-26.743	48.1689
LG30	-56.0	-13.0	43.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-56.5341	-15.6589	46.0625
LG31	-54.0	-4.0	41.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-55.0053	-6.00644	44.0262
LG32	-52.0	5.0	37.0	-999	LG	L	grid	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 4_6	Gray Matter	-52.3649	3.13059	40.8314
LG33	-56.0	-54.0	33.0	-999	LG	L	grid	Parietal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	-56.511	-56.9619	33.3807
LG34	-59.0	-45.0	33.0	-999	LG	L	grid	Parietal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	-59.3245	-47.9543	33.8919
LG35	-62.0	-35.0	34.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-62.1721	-37.8453	35.4668
LG36	-61.0	-26.0	32.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-61.7551	-28.2743	33.4841
LG37	-60.0	-16.0	33.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	-60.1546	-17.8393	34.8447
LG38	-59.0	-6.0	29.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-59.8425	-7.35232	31.6335
LG39	-55.0	3.0	28.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-56.0194	2.05158	30.6773
LG40	-51.0	13.0	28.0	-999	LG	L	grid	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 9	Gray Matter	-51.0839	12.1341	30.7725
LG41	-58.0	-57.0	24.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 39	Gray Matter	-58.9494	-59.4724	23.2966
LG42	-61.0	-46.0	24.0	-999	LG	L	grid	Temporal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	-61.867	-48.9517	23.6843
LG43	-63.0	-35.0	26.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-63.6366	-37.6599	26.2692
LG44	-64.0	-27.0	23.0	-999	LG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-64.2976	-29.2717	23.2763
LG45	-61.0	-16.0	21.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 43	Gray Matter	-61.7254	-17.932	22.2089
LG46	-61.0	-7.0	21.0	-999	LG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 43	Gray Matter	-61.2377	-8.17555	22.5183
LG47	-57.0	2.0	18.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-57.4854	1.04297	19.2699
LG48	-54.0	12.0	17.0	-999	LG	L	grid	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 44	Gray Matter	-54.8432	11.9711	19.3898
LG49	-64.0	-49.0	14.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	-64.3756	-51.0506	12.4129
LG50	-63.0	-40.0	13.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	-63.8885	-41.8912	11.6175
LG51	-65.0	-29.0	11.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 41_42	Gray Matter	-65.7989	-30.3732	10.723
LG52	-64.0	-19.0	11.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 41_42	Gray Matter	-64.2339	-20.0308	10.9376
LG53	-61.0	-11.0	9.0	-999	LG	L	grid	Temporal Lobe	Transverse Temporal Gyrus	Brodmann area 41_42	Gray Matter	-61.5235	-11.3055	8.93009
LG54	-60.0	-1.0	7.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	-61.1059	-1.13739	8.05225
LG55	-57.0	9.0	5.0	-999	LG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 44	Gray Matter	-57.353	8.67813	5.90882
LG56	-53.0	17.0	5.0	-999	LG	L	grid	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 45	Gray Matter	-53.4251	17.1661	6.18119
LG57	-64.0	-50.0	4.0	-999	LG	L	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-64.6941	-51.885	2.09813
LG58	-65.0	-42.0	2.0	-999	LG	L	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-65.3544	-42.8999	0.210157
LG59	-64.0	-30.0	2.0	-999	LG	L	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-65.0055	-31.1261	0.35473
LG60	-65.0	-21.0	0.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	-65.7353	-21.1322	-1.61582
LG61	-61.0	-11.0	-1.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 21	Gray Matter	-61.9115	-11.1313	-1.46712
LG62	-59.0	-2.0	-2.0	-999	LG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	-59.2005	-1.80886	-2.36962
