name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RAIH1	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RAIH2	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RAIH3	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RAIH4	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RAIH5	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RAIH6	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RAIH7	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RAIH8	ECOG	uV	n/a	n/a	RAIH	1000.0	strip	n/a
RPIH1	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RPIH2	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RPIH3	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RPIH4	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RPIH5	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RPIH6	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RPIH7	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RPIH8	ECOG	uV	n/a	n/a	RPIH	1000.0	strip	n/a
RFA1	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFA2	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFA3	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFA4	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFA5	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFA6	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFA7	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFA8	ECOG	uV	n/a	n/a	RFA	1000.0	strip	n/a
RFB1	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFB2	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFB3	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFB4	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFB5	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFB6	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFB7	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFB8	ECOG	uV	n/a	n/a	RFB	1000.0	strip	n/a
RFC1	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
RFC2	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
RFC3	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
RFC4	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
RFC5	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
RFC6	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
RFC7	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
RFC8	ECOG	uV	n/a	n/a	RFC	1000.0	strip	n/a
LIH1	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LIH2	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LIH3	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LIH4	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LIH5	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LIH6	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LIH7	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LIH8	ECOG	uV	n/a	n/a	LIH	1000.0	strip	n/a
LFA1	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFA2	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFA3	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFA4	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFA5	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFA6	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFA7	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFA8	ECOG	uV	n/a	n/a	LFA	1000.0	strip	n/a
LFB1	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFB2	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFB3	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFB4	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFB5	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFB6	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFB7	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFB8	ECOG	uV	n/a	n/a	LFB	1000.0	strip	n/a
LFC1	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFC2	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFC3	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFC4	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFC5	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFC6	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFC7	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFC8	ECOG	uV	n/a	n/a	LFC	1000.0	strip	n/a
LFD1	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
LFD2	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
LFD3	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
LFD4	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
LFD5	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
LFD6	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
LFD7	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
LFD8	ECOG	uV	n/a	n/a	LFD	1000.0	strip	n/a
