name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RAMY1	ECOG	V	n/a	n/a	RAMY	400.0	strip	n/a
RAMY2	ECOG	V	n/a	n/a	RAMY	400.0	strip	n/a
RAMY3	ECOG	V	n/a	n/a	RAMY	400.0	strip	n/a
RAMY4	ECOG	V	n/a	n/a	RAMY	400.0	strip	n/a
RAH1	ECOG	V	n/a	n/a	RAH	400.0	strip	n/a
RAH2	ECOG	V	n/a	n/a	RAH	400.0	strip	n/a
RAH3	ECOG	V	n/a	n/a	RAH	400.0	strip	n/a
RAH4	ECOG	V	n/a	n/a	RAH	400.0	strip	n/a
RPH1	ECOG	V	n/a	n/a	RPH	400.0	strip	n/a
RPH2	ECOG	V	n/a	n/a	RPH	400.0	strip	n/a
RPH3	ECOG	V	n/a	n/a	RPH	400.0	strip	n/a
RPH4	ECOG	V	n/a	n/a	RPH	400.0	strip	n/a
LAMY1	ECOG	V	n/a	n/a	LAMY	400.0	strip	n/a
LAMY2	ECOG	V	n/a	n/a	LAMY	400.0	strip	n/a
LAMY3	ECOG	V	n/a	n/a	LAMY	400.0	strip	n/a
LAMY4	ECOG	V	n/a	n/a	LAMY	400.0	strip	n/a
LAH1	ECOG	V	n/a	n/a	LAH	400.0	strip	n/a
LAH2	ECOG	V	n/a	n/a	LAH	400.0	strip	n/a
LAH3	ECOG	V	n/a	n/a	LAH	400.0	strip	n/a
LAH4	ECOG	V	n/a	n/a	LAH	400.0	strip	n/a
LPH1	ECOG	V	n/a	n/a	LPH	400.0	strip	n/a
LPH2	ECOG	V	n/a	n/a	LPH	400.0	strip	n/a
LPH3	ECOG	V	n/a	n/a	LPH	400.0	strip	n/a
LPH4	ECOG	V	n/a	n/a	LPH	400.0	strip	n/a
RAT1	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RAT2	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RAT3	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RAT4	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RAT5	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RAT6	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RAT7	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RAT8	ECOG	V	n/a	n/a	RAT	400.0	strip	n/a
RST1	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RST2	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RST3	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RST4	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RST5	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RST6	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RST7	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RST8	ECOG	V	n/a	n/a	RST	400.0	strip	n/a
RPT1	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
RPT2	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
RPT3	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
RPT4	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
RPT5	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
RPT6	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
RPT7	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
RPT8	ECOG	V	n/a	n/a	RPT	400.0	strip	n/a
ROF1	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
ROF2	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
ROF3	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
ROF4	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
ROF5	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
ROF6	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
ROF7	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
ROF8	ECOG	V	n/a	n/a	ROF	400.0	strip	n/a
RFA1	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFA2	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFA3	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFA4	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFA5	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFA6	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFA7	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFA8	ECOG	V	n/a	n/a	RFA	400.0	strip	n/a
RFB1	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RFB2	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RFB3	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RFB4	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RFB5	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RFB6	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RFB7	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RFB8	ECOG	V	n/a	n/a	RFB	400.0	strip	n/a
RPA1	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPA2	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPA3	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPA4	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPA5	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPA6	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPA7	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPA8	ECOG	V	n/a	n/a	RPA	400.0	strip	n/a
RPB1	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RPB2	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RPB3	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RPB4	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RPB5	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RPB6	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RPB7	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RPB8	ECOG	V	n/a	n/a	RPB	400.0	strip	n/a
RP01	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
RP02	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
RP03	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
RP04	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
RP05	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
RP06	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
RP07	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
RP08	ECOG	V	n/a	n/a	RP	400.0	strip	n/a
LAT1	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT2	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT3	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT4	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT5	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT6	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT7	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LAT8	ECOG	V	n/a	n/a	LAT	400.0	strip	n/a
LST1	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST2	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST3	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST4	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST5	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST6	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST7	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
LST8	ECOG	V	n/a	n/a	LST	400.0	strip	n/a
