name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RFG1	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG2	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG3	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG4	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG5	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG6	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG7	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG8	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG9	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG10	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG11	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG12	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG13	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG14	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG15	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG16	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG17	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG18	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG19	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG20	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG21	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG22	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG23	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
RFG24	ECOG	V	n/a	n/a	RFG	1000.0	grid	n/a
ROF1	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
ROF2	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
ROF3	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
ROF4	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
ROF5	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
ROF6	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
ROF7	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
ROF8	ECOG	V	n/a	n/a	ROF	1000.0	strip	n/a
RF1	ECOG	V	n/a	n/a	RF	1000.0	strip	n/a
