name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white
ROFA1	-7.16655	27.2501	-25.2086	-999	ROFA	L	strip	Frontal Lobe	Rectal Gyrus	Brodmann area 11	Gray Matter
ROFA2	3.3065	27.6878	-28.3468	-999	ROFA	R	strip	Frontal Lobe	Rectal Gyrus	Brodmann area 11	Gray Matter
ROFA3	15.1667	28.2727	-27.3144	-999	ROFA	R	strip	Frontal Lobe	Orbital Gyrus	Brodmann area 47	Gray Matter
ROFA4	26.4115	28.8184	-26.7827	-999	ROFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 11	Gray Matter
ROFA5	37.1196	29.3598	-25.1668	-999	ROFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFA6	48.0104	29.9818	-19.8532	-999	ROFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFA7	54.7018	33.6539	-12.8629	-999	ROFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFA8	63.213	37.9778	-4.3877	-999	ROFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFB1	4.89091	42.7457	-29.9865	-999	ROFB	R	strip	Frontal Lobe	Orbital Gyrus	Brodmann area 11	Gray Matter
ROFB2	15.9364	40.7059	-24.0603	-999	ROFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 11	Gray Matter
ROFB3	26.1569	37.4424	-23.8833	-999	ROFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 11	Gray Matter
ROFB4	36.8891	35.2643	-24.296	-999	ROFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFB5	47.0859	35.2665	-21.5792	-999	ROFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFB6	53.3951	36.2723	-12.8922	-999	ROFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFB7	62.0349	37.9228	-4.33248	-999	ROFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
ROFB8	69.9525	36.2109	-1.45452	-999	ROFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
RFA1	53.7847	33.7142	-7.52538	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter
RFA2	60.683	34.7474	1.13402	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 45	Gray Matter
RFA3	66.4557	36.2949	11.4165	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter
RFA4	65.7736	36.4588	21.5082	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 46	Gray Matter
RFA5	63.9657	36.5908	32.7116	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 46	Gray Matter
RFA6	56.957	32.1517	42.1857	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 9	Gray Matter
RFA7	50.4857	28.2632	51.0871	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 8	Gray Matter
RFA8	42.0129	25.2809	56.3399	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 8	Gray Matter
RFB1	54.0547	56.0687	-16.769	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 47	Gray Matter
RFB2	54.5264	58.461	-5.21532	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 47	Gray Matter
RFB3	55.2301	57.1336	7.51303	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter
RFB4	55.9842	53.0981	18.741	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 46	Gray Matter
RFB5	52.5101	48.8241	28.0494	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter
RFB6	53.1858	44.7542	37.6928	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 46	Gray Matter
RFB7	47.4577	37.6851	46.6678	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 9	Gray Matter
